t,cam_center_x,face_x_asignada,distancia
18.5667,430.0,430.0,0.0
18.6000,430.0,430.0,0.0
18.6333,430.0,430.0,0.0
18.6667,430.0,430.0,0.0
18.7000,430.0,430.0,0.0
18.7333,430.0,430.0,0.0
18.7667,430.0,430.0,0.0
18.8000,430.0,430.0,0.0
18.8333,430.0,430.0,0.0
18.8667,430.0,430.0,0.0
18.9000,430.0,430.0,0.0
18.9333,430.0,430.0,0.0
18.9667,430.0,430.0,0.0
19.0000,430.0,430.0,0.0
19.0333,430.0,430.0,0.0
19.0667,430.0,430.0,0.0
19.1000,430.0,430.0,0.0
19.1333,430.0,430.0,0.0
19.1667,430.0,430.0,0.0
19.2000,430.0,430.0,0.0
19.2333,430.0,430.0,0.0
19.2667,430.0,430.0,0.0
19.3000,430.0,430.0,0.0
19.3333,430.0,430.0,0.0
19.3667,430.0,430.0,0.0
19.4000,430.0,430.0,0.0
19.4333,430.0,430.0,0.0
19.4667,430.0,430.0,0.0
19.5000,430.0,430.0,0.0
19.5333,430.0,430.0,0.0
19.5667,430.0,430.0,0.0
19.6000,430.0,430.0,0.0
19.6333,430.0,430.0,0.0
19.6667,430.0,430.0,0.0
19.7000,430.0,430.0,0.0
19.7333,430.0,430.0,0.0
19.7667,430.0,430.0,0.0
19.8000,430.0,430.0,0.0
19.8333,430.0,430.0,0.0
19.8667,430.0,430.0,0.0
19.9000,430.0,430.0,0.0
19.9333,430.0,430.0,0.0
19.9667,430.0,430.0,0.0
20.0000,430.0,430.0,0.0
20.0333,430.0,430.0,0.0
20.0667,430.0,430.0,0.0
20.1000,430.0,430.0,0.0
20.1333,430.0,430.0,0.0
20.1667,430.0,430.0,0.0
20.2000,430.0,430.0,0.0
20.2333,430.0,430.0,0.0
20.2667,430.0,430.0,0.0
20.3000,430.0,430.0,0.0
20.3333,430.0,430.0,0.0
20.3667,430.0,430.0,0.0
20.4000,430.0,430.0,0.0
20.4333,430.0,430.0,0.0
20.4667,430.0,430.0,0.0
20.5000,430.0,430.0,0.0
20.5333,430.0,430.0,0.0
20.5667,430.0,430.0,0.0
20.6000,430.0,430.0,0.0
20.6333,430.0,430.0,0.0
20.6667,430.0,430.0,0.0
20.7000,430.0,430.0,0.0
20.7333,430.0,430.0,0.0
20.7667,430.0,430.0,0.0
20.8000,430.0,430.0,0.0
20.8333,430.0,430.0,0.0
20.8667,430.0,430.0,0.0
